NOM_ENT,NOM_MUN,COM_ID,dec_lon,dec_lat,NOM_LOC,unidad_pesca,prop_ocupada,prop_hogares,LOC,PC1,PCA_norm,region
Campeche,Calkiní,4_1_2,-90.45245916666667,20.690499444444445,Isla Arena,1,0.42665289256198347,0.07608695652173914,1,0.26525955286148206,0.6029804727125646,Golfo de México y Caribe
Campeche,Calkiní,4_1_9,-90.21930777777779,20.365076666666667,Pucnachén,0,0.3928225024248303,0.24822695035460995,2,-0.4378793318072434,0.49899423830074796,Golfo de México y Caribe
Campeche,Calkiní,4_1_11,-90.2356975,20.437918888888888,San Nicolás,0,0.40446650124069483,0.11711711711711714,3,-0.120207474954868,0.5459742886051078,Golfo de México y Caribe
Campeche,Calkiní,4_1_12,-90.24051916666667,20.39787111111111,Santa Cruz Ex-Hacienda,0,0.43842364532019706,0.2644836272040302,4,-0.25324979899683897,0.5262988438300129,Golfo de México y Caribe
Campeche,Calkiní,4_1_14,-90.24278555555556,20.50789222222222,Tankuché,1,0.42019543973941365,0.30246913580246915,5,-0.21826388959597726,0.5314728614464368,Golfo de México y Caribe
Campeche,Calkiní,4_1_16,-90.24536916666666,20.372651944444446,Santa María,0,0.48659003831417624,0.45333333333333337,6,-0.4015987161755792,0.5043597282259094,Golfo de México y Caribe
Campeche,Campeche,4_2_1,-90.53964916666666,19.844814166666666,San Francisco de Campeche,0.012705061082024433,0.49895242024973663,0.01569142029223225,7,0.5350841267568722,0.642884454703795,Golfo de México y Caribe
Campeche,Campeche,4_2_68,-90.42054694444445,19.65893472222222,Uayamón,0,0.5080906148867315,0.02970297029702973,8,0.5480621571175408,0.6448037576135237,Golfo de México y Caribe
Campeche,Campeche,4_2_70,-90.36565888888889,19.908939444444442,Bethania,0,0.48671875,0.07999999999999996,9,0.34569729785257425,0.614876299253494,Golfo de México y Caribe
Campeche,Campeche,4_2_71,-90.42053083333334,19.770520555555553,San Antonio Bobolá,0,0.6273584905660378,0.06349206349206349,10,1.0484124630078815,0.7187998703741629,Golfo de México y Caribe
Campeche,Campeche,4_2_73,-90.43043222222222,19.837024166666666,Castamay,0,0.4747235387045814,0.062322946175637384,11,0.3239333659757762,0.6116576615544428,Golfo de México y Caribe
Campeche,Campeche,4_2_75,-90.35620805555556,19.92016166666667,Chemblás,1,0.5238095238095238,0.1225806451612903,12,0.6349107453792256,0.6576476748740089,Golfo de México y Caribe
Campeche,Campeche,4_2_77,-90.49528111111111,19.76931972222222,Chiná,0.0030120481927710845,0.5447180301826846,0.04871060171919772,13,0.6850542033908965,0.6650633213312195,Golfo de México y Caribe
Campeche,Campeche,4_2_81,-90.38786083333333,19.926273611111114,Hampolol,0,0.44881244881244886,0.05099150141643061,14,0.22321328113901295,0.5967623079050024,Golfo de México y Caribe
Campeche,Campeche,4_2_82,-90.49047083333333,19.609005833333335,Hobomó,0,0.4883720930232558,0.04081632653061229,15,0.4319392628203427,0.627630503836418,Golfo de México y Caribe
Campeche,Campeche,4_2_86,-90.47362694444445,19.875685555555556,Imí,0,0.511205330102968,0.14556962025316456,16,0.3311554089189711,0.6127257194684593,Golfo de México y Caribe
Campeche,Campeche,4_2_87,-90.60070194444444,19.806181666666667,Lerma,0.08,0.4737487459592019,0.03211907559733651,17,0.3955212841289528,0.6222446994788741,Golfo de México y Caribe
Campeche,Campeche,4_2_89,-90.46217166666666,19.68785111111111,Mucuychakán,0,0.4365482233502538,0.14035087719298245,18,-0.013909217743949931,0.5616945904301304,Golfo de México y Caribe
Campeche,Campeche,4_2_90,-90.27065694444444,19.84552888888889,Nilchí,0,0.4795539033457249,0.06181818181818177,19,0.347944155802653,0.6152085839593767,Golfo de México y Caribe
Campeche,Campeche,4_2_93,-90.52295138888888,19.712464722222222,San Agustín Olá,0,0.6192893401015229,0.1228070175438597,20,0.8913562467602298,0.6955730443876358,Golfo de México y Caribe
Campeche,Campeche,4_2_97,-90.35067,19.729957499999998,Pocyaxum,0,0.48892988929889303,0.09090909090909094,21,0.33440764243211774,0.6132066877719252,Golfo de México y Caribe
Campeche,Campeche,4_2_101,-90.41711027777778,19.916219444444444,San Francisco Kobén,1,0.4907120743034056,0.12034383954154726,22,0.4817809616901916,0.6350015235526795,Golfo de México y Caribe
Campeche,Campeche,4_2_178,-90.66727444444444,19.724171666666663,Ensenada,1,0.3076923076923077,0.1428571428571429,23,-0.4347504844784896,0.49945695919253863,Golfo de México y Caribe
Campeche,Campeche,4_2_200,-90.43078,19.8967,Horticultores de Kobén,0,0.34042553191489366,0.2142857142857143,24,-0.619499350985254,0.4721347055684328,Golfo de México y Caribe
Campeche,Campeche,4_2_249,-90.39793583333334,19.796704722222223,Miguel Alemán (X-Campéu),0,0.5342465753424658,0.2692307692307693,25,0.19354550511248592,0.5923747816571471,Golfo de México y Caribe
Campeche,Campeche,4_2_326,-90.64277777777778,19.773333333333333,Mar Azul,0,0.41666666666666663,0.16666666666666663,26,-0.16121398778431234,0.5399098922981069,Golfo de México y Caribe
Campeche,Campeche,4_2_329,-90.63616972222223,19.77809611111111,Club Náutico y Deportivo de Campeche,0,0.5,0,27,0.5689435020785242,0.6478918707577282,Golfo de México y Caribe
Campeche,Campeche,4_2_402,-90.50169194444445,19.74675527777778,San Francisco Uxmal,0,0.4545454545454546,0.25,28,-0.1475130468645953,0.5419361054477485,Golfo de México y Caribe
Campeche,Campeche,4_2_501,-90.46584777777778,19.82031027777778,Nuevo San Antonio Ebulá,0,0.6170212765957447,0.23684210526315785,29,0.6524809785088751,0.660246112281934,Golfo de México y Caribe
Campeche,Campeche,4_2_520,-90.51050611111111,19.73611138888889,La Palma,0,0.4545454545454546,0,30,0.3524979673064473,0.6158820408266127,Golfo de México y Caribe
Campeche,Campeche,4_2_585,-90.26948888888889,19.79485027777778,Nueva Esperanza,0,0.4285714285714286,0,31,0.228814804579546,0.5975907094374038,Golfo de México y Caribe
Campeche,Campeche,4_2_875,-90.50034388888889,19.745899166666668,San Francisco,0,0.5217391304347826,0.33333333333333337,32,0.005779579524069383,0.5646063393500661,Golfo de México y Caribe
Campeche,Campeche,4_2_960,-90.46615361111111,19.831718333333335,Seet Ka'an (Rincón del Cielo),0,0.5,0.75,33,-0.9310895404346036,0.4260540646211358,Golfo de México y Caribe
